"Titulo","Ano","Nota"
"[Anomaly Detection with Density Estimation](https://arxiv.org/pdf/2001.04990.pdf){target=_blank}",2020,":fontawesome-solid-note-sticky:"
"[Normalizing Flows for Probabilistic Modeling and Inference](https://arxiv.org/pdf/1912.02762.pdf){target=_blank}",2021,":fontawesome-solid-note-sticky:"
"[Sylvester Normalizing Flows for Variational Inference](http://auai.org/uai2018/proceedings/papers/156.pdf){target=_blank}",2018,":fontawesome-solid-note-sticky:"
"[Neural Spline Flows](https://arxiv.org/pdf/1906.04032.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Residual Flows for Invertible Generative Modeling](https://arxiv.org/pdf/1906.02735.pdf){target=_blank}",2020,":fontawesome-solid-note-sticky:"
"[Deep Residual Flow for Novelty Detection](https://arxiv.org/pdf/2001.05419.pdf){target=_blank}",2020,":fontawesome-solid-note-sticky:"
"[Do Deep Generative Models Know What They Don't Know?](https://arxiv.org/pdf/1810.09136.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[WAIC, but Why? Generative Ensembles for Robust Anomaly Detection](https://arxiv.org/pdf/1810.01392.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Towards Out-of-Distribution Detection with Divergence Guarantee in Deep Generative Models](https://arxiv.org/pdf/1906.02994.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Out-of-Distribution Detection with Distance Guarantee in Deep Generative Models](https://arxiv.org/pdf/2002.03328.pdf){target=_blank}",2021,":fontawesome-solid-note-sticky:"
"[Likelihood Regret: An Out-of-Distribution Detection Score For Variational Auto-encoder](https://arxiv.org/pdf/2003.02977.pdf){target=_blank}",2020,":fontawesome-solid-note-sticky:"
"[Block Neural Autoregressive Flow](https://arxiv.org/pdf/1904.04676.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[MaCow: Masked Convolutional Generative Flow](https://papers.nips.cc/paper/8824-macow-masked-convolutional-generative-flow.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Normalizing Flows for Probabilistic Modeling and Inference](https://arxiv.org/pdf/1912.02762.pdf){target=_blank}",2021,":fontawesome-solid-note-sticky:"
"[Artificial Neural Networks Applied to Taxi Destination Prediction](https://arxiv.org/pdf/1508.00021.pdf){target=_blank}",2015,":fontawesome-solid-note-sticky:"
"[Deep Generative Models Strike Back! Improving Understanding and Evaluation in Light of Unmet Expectations for OoD Data](https://arxiv.org/pdf/1911.04699.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Likelihood Assignment for Out-of-Distribution Inputs in Deep Generative Models is Sensitive to Prior Distribution Choice](https://arxiv.org/pdf/1911.06515.pdf){target=_blank}",2019,":fontawesome-solid-note-sticky:"
"[Rethinking Assumptions in Deep Anomaly Detection](https://arxiv.org/pdf/2006.00339.pdf){target=_blank}",2021,":fontawesome-solid-note-sticky:"
